LineItem,Parent,GrandParent
NYS - PFL Payable,TOTAL EMPLOYEE BENEFITS,Total Employer Benefits
Non-Revenue Service Charge,REVENUE,REVENUE
Bank Interest,Bank Interest,Bank Interest
FOH - Server/ Captains,Wages - F.O.H.,STAFF COST
Prepaid Expenses,Total Other Expense,Other Expense
Sales Ledger Control A/C - Gift,REVENUE,REVENUE
Retail Inventory,Total Wages - B.O.H. Wages,STAFF COST
FOH - Bussers/ Runners,TOTAL STAFF COST,TOTAL STAFF COST
Event Deposit Redeem,Total Wages - F.O.H. Wages,STAFF COST
MM Hospitality,ADMINISTRATION,Gross Profit - Beverages
IT Securing,Other Charges - Other,G&A
Chase Bank - 9728,ADMINISTRATION,ADMINISTRATION
State SUI,TOTAL STAFF COST,STAFF COST
COGS,Total Cost of Sales - F&B,COST OF GOODS SOLD
Steven Fruman Withdrawals,Total Wages - F.O.H. Wages,STAFF COST
SBA Loan,Other Income & Expenses,Other Income & Expenses
Intangible Assets,Intangible Assets,Other Expenses
American Express # 81008-Steven,Total Wages - F.O.H. Wages,STAFF COST
Wine - Stock Adjustment,Cost of Sales - Wines,Cost of Sales - Wines
Other Bev Purchases,COG Other Beverages,COST OF GOODS SOLD
Transport - Charges - S,Total Operating Expenses,TOTAL OPERATING EXPENSES
Cost of Sales - Liquor,COST OF GOODS SOLD,COST OF GOODS SOLD
Other Inventory,Total Cost of Sales - Other Bev,COST OF GOODS SOLD
FOH - Bartender/ Barbacks,Wages - F.O.H. Wages,STAFF COST
Fees / Commisions,FINANCIAL COST,FINANCIAL COST
Staff Wages,TOTAL WAGES - 1099,STAFF COST
IC Mamo Midtown,Total Wages - F.O.H. Wages,STAFF COST
Beer Purchases,Cost of Sales - Beer,Cost of Sales - Beer
Start-Up Costs,Start-Up Costs,Other Expenses
Food Inventory,Total Cost of Sales - Food,COST OF GOODS SOLD
Liability of Uncleared Checks,Other Expenses,TOTAL OTHER STAFF COST
Medical,Total Employer Benefits,STAFF COST
Flatware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Legal Attorney,Legal & Accounting,GENERAL & ADMINISTRATIVE
It Securing,Other Charges - Other,G&A
Deposit - Rent,TOTAL OCCUPANCY,TOTAL OCCUPANCY
Wages-Garnishment,Total Wages - F.O.H. Wages,STAFF COST
ERTC Fund,TOTAL FINANCIAL COSTS,TOTAL FINANCIAL COST
*Sales Tax Payable,Sales Tax 2015,TOTAL OTHER STAFF COST
Collected by Steven for Rent,OCCUPANCY,OCCUPANCY
Real Estate Escalation Tax,OCCUPANCY,OCCUPANCY
Deposit - Staff Accommodation,TOTAL STAFF COST,STAFF COST
Sales Ledger Control A/C- Event,ADMINISTRATION,ADMINISTRATION
Tea/Coffee Inventory,Total Cost of Sales - Tea/Coffee,COST OF GOODS SOLD
Subscriptions,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Due from Mike,Other Income & Expenses,Total Other Income
Deposit - Office,ADMINISTRATION,Gross Profit - Wines
Wine Inventory,Total Cost of Sales - Wine & Champagn,COST OF GOODS SOLD
Public Relations,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Estimates,Total Other Expenses,Total Other Expenses
R & D,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Gas,OCCUPANCY,OCCUPANCY
Equipment,TOTAL REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
BOH - Office/ Admin,ADMINISTRATION,GENERAL & ADMINISTRATIVE
Airfare,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
Penalties,FINANCIAL COST,FINANCIAL COST
Other Charges,Other Charges,Other Charges
AR Chargeback,Other Income,Other Income
Advertising,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Due from SF,Other Income & Expenses,Other Income & Expenses
Child Support,Total Employer Benefits,Total Employer Benefits
Glassware,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Accrued Liabilities,Other Expenses,TOTAL OTHER STAFF
BOH - Dishwashers,SUPPLIES AND MAINTENANCE,SUPPLIES AND MAINTENANCE
Lodging,TRAVEL & ENTERTAINMENT,TRAVEL & ENTERTAINMENT
SF,TOTAL WAGES - 1099,STAFF COST
Staff Insurance,OTHER STAFF COST,OTHER STAFF COST
American Express #11015 -Leslie,Total Wages,STAFF COST
3,TOTAL WAGES - F.O.H. Wages,STAFF COST
Used Tax on Comps,ADVERTISING/PROMOTION,ADVERTISING/PROMOTION
Repairs & Maintenance,REPAIRS & MAINTENANCE,TOTAL REPAIRS & MAINTENANCE
Revenue - Wines,REVENUE,REVENUE
American Express#11007 - Steven,Total Wages - F.O.H. Wages,STAFF COST
Ny MTA,TOTAL OPERATING EXPENSES,TOTAL OTHER STAFF COST
Tea/Coffee Purchases,Cost of Sales - Tea/Coffee,Cost of Sales - Tea/Coffee
Tax Fees,PROFESSIONAL FEE,PROFESSIONAL FEE
Members Distribution,Total Sales Revenue,REVENUE
Wages-Commission,STAFF COST,STAFF COST
Loan From Paperchase,Interest on Loans,TOTAL FINANCIAL COST
BOH - Pastry Chef,Wages - B.O.H. Salaried,Total Wages - B.O.H. Salaried
Postage/Courier,COMMUNICATION,COMMUNICATION
Donations,FINANCIAL COST,FINANCIAL COST
Uncategorized Expenses,FINANCIAL COST,FINANCIAL COST
Disability (NYSIDF),EMPLOYER TAXES,Total Employer Benefits
Restaurant Equipment,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES
Amex Loan - Line of credit,Interest on Loans,FINANCIAL COST
Cost of Sales - Other Bev,COST OF GOODS SOLD,COST OF GOODS SOLD
Commercial Rent Tax,OCCUPANCY,OCCUPANCY
Fees,Fees,P&L AMORTIZATION
Trash/Waste Removal Service,SUPPLIES & MAINTENANCE,SUPPLIES & MAINTENANCE
Financial Cost,FINANCIAL COST,FINANCIAL COST
Revenue - Tea/Coffee,REVENUE,REVENUE
Employer Taxes,Employer Taxes,STAFF COST
Loan from Steven Fruman,Other Income & Expenses,Other Income & Expenses
Monitoring charges,OCCUPANCY,OCCUPANCY
Security Services,OCCUPANCY,OCCUPANCY
P & L Depreciation,PL Depreciation & Amortization,PL Depreciation & Amortization
Audio / Visual,TOTAL OTHER EXPENSE,TOTAL OTHER EXPENSE
Guaranteed Payment to Partner,Total Wages - B.O.H. Salaried,STAFF COST
Event Expenses,ADVERTISING / PROMOTION,ADVERTISING / PROMOTION
Staff Training,OTHER STAFF COST,OTHER STAFF COST
Gift Card Redeem,Total Sales Revenue,TOTAL REVENUE
